iter	Logloss
0	0.6681128616
1	0.6454065764
2	0.6276068764
3	0.6110799988
4	0.5957355971
5	0.5808955195
6	0.5699421033
7	0.5592663743
8	0.5492251655
9	0.5414457803
10	0.5351872499
11	0.5280212206
12	0.521533148
13	0.5155426275
14	0.5109093134
15	0.5062995984
16	0.5025302886
17	0.4986605589
18	0.4940967273
19	0.4911188714
20	0.4876968475
21	0.4846645751
22	0.4817608501
23	0.4792807772
24	0.4768267797
25	0.4747821465
26	0.472120733
27	0.470021899
28	0.4679174119
29	0.4661909033
30	0.4639899402
31	0.4625078783
32	0.4606593448
33	0.4590278108
34	0.4577415911
35	0.4562966454
36	0.4550525571
37	0.4537359936
38	0.4523947102
39	0.4510451548
40	0.4500666518
41	0.4489556357
42	0.4480802504
43	0.4469991707
44	0.4458979148
45	0.4448746745
46	0.4437384409
47	0.4428629763
48	0.4421516596
49	0.4412499201
50	0.4400667532
51	0.4394350007
52	0.4386356384
53	0.4377660939
54	0.4370202283
55	0.4362688523
56	0.4356585651
57	0.4349583084
58	0.4341297734
59	0.4332848477
60	0.4326993264
61	0.4319059971
62	0.4312497906
63	0.430535334
64	0.4297574619
65	0.4290223694
66	0.4283908417
67	0.4277513248
68	0.4270963066
69	0.4263115994
70	0.4257026187
71	0.4250468877
72	0.4245152683
73	0.4238394383
74	0.4232552881
75	0.4226880316
76	0.4220944526
77	0.4216339011
78	0.4211659954
79	0.4204643865
80	0.4198466807
81	0.419020007
82	0.4184108058
83	0.4179362249
84	0.4174413378
85	0.4169845182
86	0.4165369245
87	0.4158595612
88	0.4152711548
89	0.4148015646
90	0.4143988199
91	0.4138329755
92	0.4131510891
93	0.4125975084
94	0.4122854159
95	0.4114599551
96	0.411002989
97	0.4104660979
98	0.4100051476
99	0.409200662
100	0.4087060901
101	0.407973091
102	0.4075086799
103	0.4071204987
104	0.4066330404
105	0.4061865082
106	0.4058916108
107	0.4056148151
108	0.4053284975
109	0.4049505347
110	0.4046450623
111	0.4040461795
112	0.403709538
113	0.4035409652
114	0.4033755141
115	0.402927542
116	0.4025981636
117	0.4021898499
118	0.4018077672
119	0.4013825338
120	0.4011155075
121	0.4006654871
122	0.4003104776
123	0.400023151
124	0.3996251211
125	0.3992441805
126	0.3988524743
127	0.3984576919
128	0.3981396271
129	0.3976839053
130	0.3974707053
131	0.3969999315
132	0.3965542623
133	0.3963918817
134	0.3959369519
135	0.3955486178
136	0.3951087626
137	0.3949021424
138	0.3946320659
139	0.3942413566
140	0.394000355
141	0.3935318618
142	0.3931194912
143	0.3927740868
144	0.392494972
145	0.3922177036
146	0.3919580794
147	0.3914328921
148	0.3911796857
149	0.3907793548
150	0.3904104294
151	0.3901321191
152	0.3898502075
153	0.3895440051
154	0.389253479
155	0.3890448374
156	0.3888216743
157	0.3885037836
158	0.3880493188
159	0.3878193238
160	0.387494853
161	0.3872507534
162	0.3869793697
163	0.3866315312
164	0.3864085024
165	0.3861235265
166	0.385913271
167	0.3856437472
168	0.3854066502
169	0.3850972359
170	0.3848665791
171	0.384652904
172	0.384420735
173	0.3841419991
174	0.3836847178
175	0.3834210387
176	0.3831055696
177	0.3828058789
178	0.3825160876
179	0.3822228681
180	0.3821008705
181	0.3817813488
182	0.3816000459
183	0.3813433178
184	0.3808580161
185	0.3805235769
186	0.3803080382
187	0.3800323086
188	0.3797153746
189	0.3794726317
190	0.3792161716
191	0.3789715323
192	0.3786688838
193	0.3785451557
194	0.3783000595
195	0.3780730582
196	0.3778384257
197	0.3773975263
198	0.3771106731
199	0.3769693282
200	0.3767099416
201	0.376491824
202	0.3761809586
203	0.3759629312
204	0.3757339744
205	0.3753596488
206	0.3751960368
207	0.3749853111
208	0.3747414114
209	0.3744741784
210	0.3741583325
211	0.3740093133
212	0.3736737758
213	0.3734544338
214	0.3732028467
215	0.3729492712
216	0.3726970161
217	0.3725020449
218	0.3723203134
219	0.372154699
220	0.3719922897
221	0.3717806754
222	0.3715518345
223	0.3713117473
224	0.3709287129
225	0.3707371666
226	0.3705170914
227	0.3703031202
228	0.3700258135
229	0.3697927852
230	0.369508944
231	0.3694173131
232	0.3691644332
233	0.3688705569
234	0.3685500079
235	0.3683828282
236	0.3681173805
237	0.3678954075
238	0.3676359937
239	0.3674741456
240	0.367304681
241	0.3670689903
242	0.3668730763
243	0.3666636442
244	0.3662965789
245	0.3661754917
246	0.3658468898
247	0.3656235649
248	0.3654688384
249	0.3650359244
250	0.3647263398
251	0.3645838279
252	0.364404359
253	0.3640824995
254	0.3637907678
255	0.3635189311
256	0.3632981716
257	0.3629891905
258	0.3627191281
259	0.3624105562
260	0.3620233731
261	0.3616278935
262	0.3614816796
263	0.3612319047
264	0.3609551929
265	0.3608110582
266	0.3606050808
267	0.3602371857
268	0.3600114002
269	0.3597120957
270	0.3595491951
271	0.3592302887
272	0.359002186
273	0.3586965177
274	0.3584935967
275	0.3582844629
276	0.3579412484
277	0.3576979356
278	0.3574342927
279	0.3570758245
280	0.3568091812
281	0.3566148879
282	0.3563312644
283	0.3561459337
284	0.3558375786
285	0.3556354049
286	0.3555352891
287	0.3553392971
288	0.3551747882
289	0.3547435895
290	0.3545524124
291	0.3542074367
292	0.3539947922
293	0.3537017945
294	0.3535379281
295	0.3533539578
296	0.3531842386
297	0.3529806111
298	0.3527663302
299	0.3524809921
